Site,Year,Precip,SiteYear
CH,2017,574.0280151,CH2017
CH,2018,910.243042,CH2018
CH,2021,892.2071533,CH2021
CH,2022,1238.793457,CH2022
HM,2017,582.8540039,HM2017
HM,2018,638.9260254,HM2018
HM,2021,747.3068848,HM2021
JC,2017,807.9330444,JC2017
JC,2018,734.3000488,JC2018
JC,2021,676.7324829,JC2021
MM,2017,355.6470032,MM2017
MM,2018,552.7340088,MM2018
MM,2021,387.9606018,MM2021
PL,2017,570.9430542,PL2017
PL,2018,832.0170288,PL2018
PL,2021,756.7340088,PL2021
PL,2022,878.1759644,PL2022
RP,2021,892.2071533,RP2021
RP,2022,1238.793457,RP2022
SC,2017,490.289032,SC2017
SC,2018,536.3210449,SC2018
SC,2021,426.3035889,SC2021
SM,2017,635.4110107,SM2017
SM,2018,584.69104,SM2018
SM,2021,634.6676636,SM2021
SS,2017,565.6060181,SS2017
UK,2017,619.6210327,UK2017
VC,2017,551.0390015,VC2017
