Site,Longitude,Latitude,SiteYear
CH,-109.2791267,31.91741667,CH2017
CH,-109.2791267,31.91741667,CH2018
CH,-109.2791267,31.91741667,CH2021
CH,-109.2791267,31.91741667,CH2022
HM,-109.3259275,33.63208,HM2017
HM,-109.3259275,33.63208,HM2018
HM,-109.3259275,33.63208,HM2021
JC,-105.6400463,35.8551255,JC2017
JC,-105.6400463,35.8551255,JC2018
JC,-105.6400463,35.8551255,JC2021
MM,-107.1837613,33.99113625,MM2017
MM,-107.1837613,33.99113625,MM2018
MM,-107.1837613,33.99113625,MM2021
PL,-109.8778655,32.6690805,PL2017
PL,-109.8778655,32.6690805,PL2018
PL,-109.8778655,32.6690805,PL2021
PL,-109.8778655,32.6690805,PL2022
RP,-109.2796025,31.903815,RP2021
RP,-109.2796025,31.903815,RP2022
SC,-106.4427863,35.205805,SC2017
SC,-106.4427863,35.205805,SC2018
SC,-106.4427863,35.205805,SC2021
SM,-107.59945,35.247332,SM2017
SM,-107.59945,35.247332,SM2018
SM,-107.59945,35.247332,SM2021
SS,-105.786,32.78859,SS2017
UK,-105.7748,32.88197,UK2017
VC,-106.5173333,35.92218667,VC2017
